"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.577050853E1,5.235991467E1,4.909109239E0,2.402377334E0,7.336221047E-2,NaN,4.936980677E0,3.074208650E0
4.677080083E1,5.235991513E1,4.909103093E0,2.477372808E0,8.195400474E-2,NaN,4.934994384E0,3.077396215E0
4.777108061E1,5.235991207E1,4.909092416E0,2.470707180E0,9.761613603E-2,NaN,4.939266048E0,3.070535448E0
4.877133977E1,5.235990929E1,4.909088370E0,2.396936190E0,4.528030751E-2,NaN,4.932952139E0,3.080668796E0
4.977158451E1,5.235991459E1,4.909093676E0,2.306133425E0,5.314572334E-2,NaN,4.929088815E0,3.086846365E0
5.077181268E1,5.235991472E1,4.909093764E0,2.310180255E0,0.000000000E0,NaN,4.918087574E0,3.104343996E0
5.177202570E1,5.235991472E1,4.909093764E0,2.310180255E0,0.000000000E0,NaN,4.904852486E0,3.125213452E0
5.277222979E1,5.235991472E1,4.909093764E0,2.310180255E0,0.000000000E0,NaN,4.906477593E0,3.122661470E0
5.377241826E1,5.235991472E1,4.909093764E0,2.310180255E0,0.000000000E0,NaN,4.900499475E0,3.132034790E0
5.477259564E1,5.235991472E1,4.909093764E0,2.310180255E0,0.000000000E0,NaN,4.897886110E0,3.136120006E0
5.577276289E1,5.235991472E1,4.909093764E0,2.310180255E0,0.000000000E0,NaN,4.893619227E0,3.142773917E0
5.677291906E1,5.235992625E1,4.909086023E0,2.422447813E0,5.297811099E-2,NaN,4.894961206E0,3.140683337E0
5.777306688E1,5.235993792E1,4.909077468E0,2.319571150E0,8.086083501E-1,3.443035173E2,4.917845025E0,3.104728223E0
5.877320468E1,5.235997669E1,4.909043011E0,2.150429439E0,3.328738400E0,3.366531517E2,4.930249713E0,3.084991864E0
5.977333474E1,5.236005021E1,4.908999476E0,2.372004785E0,6.492098702E0,3.396785059E2,4.916414249E0,3.106993397E0
6.077345645E1,5.236013974E1,4.908915072E0,2.445041797E0,9.361608661E0,3.354158977E2,4.902334563E0,3.129161687E0
