"Time (s)","Distance (cm)"
4.072333333E-3,5.000000000E0
8.757487500E-2,0.000000000E0
2.212801250E-1,5.000000000E0
4.249485458E0,0.000000000E0
4.466697292E0,5.000000000E0
3.465166687E2,0.000000000E0
3.468510582E2,5.000000000E0
