"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717679520567000E9,"2024-06-06 15:12:00.567 UTC+02:00"
"PAUSE",7.079845032916637E2,1.717680228552000E9,"2024-06-06 15:23:48.552 UTC+02:00"
