"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.872456789E1,5.233537964E1,5.002961328E0,1.963899739E0,1.185397979E1,8.758439625E1,4.747330925E0,3.359670537E0
4.972456765E1,5.233537960E1,5.003128933E0,1.829940718E0,1.153743078E1,8.960893013E1,4.748021383E0,3.358694684E0
5.072456765E1,5.233537965E1,5.003290801E0,1.838929771E0,1.114137712E1,9.106843537E1,4.748376498E0,3.358192619E0
5.172456765E1,5.233537624E1,5.003445591E0,1.697908795E0,1.067744360E1,9.212425644E1,4.747040764E0,3.360080507E0
5.272456682E1,5.233536980E1,5.003596061E0,1.645964989E0,1.030320571E1,9.293924164E1,4.745565123E0,3.362164288E0
5.372456670E1,5.233536225E1,5.003737149E0,1.585600912E0,9.697524927E0,9.412419740E1,4.744653182E0,3.363451087E0
5.472456646E1,5.233535356E1,5.003861197E0,1.468209624E0,8.746382147E0,9.536708017E1,4.743817800E0,3.364629209E0
5.572456610E1,5.233534352E1,5.003969186E0,1.487995388E0,7.689275063E0,9.682670916E1,4.743196234E0,3.365505388E0
5.672456658E1,5.233533537E1,5.004057100E0,1.535213685E0,6.437879228E0,9.759964003E1,4.741639150E0,3.367698799E0
5.772456610E1,5.233532848E1,5.004129249E0,1.612423351E0,5.266071283E0,9.815723240E1,4.739292650E0,3.371000179E0
5.872456777E1,5.233532281E1,5.004197095E0,1.673655255E0,4.926999599E0,9.863339187E1,4.737665471E0,3.373286664E0
5.972456598E1,5.233531256E1,5.004277503E0,1.660555245E0,5.513826416E0,9.981847504E1,4.737955208E0,3.372879702E0
6.072456586E1,5.233529810E1,5.004361114E0,1.523462300E0,6.015148581E0,1.028213462E2,4.738310381E0,3.372380727E0
6.172456586E1,5.233526718E1,5.004450627E0,1.540903327E0,6.693590319E0,1.131254829E2,4.740593584E0,3.369170448E0
6.272456574E1,5.233521463E1,5.004525469E0,1.663038298E0,7.333897977E0,1.349288025E2,4.743747675E0,3.364728077E0
6.372456574E1,5.233515540E1,5.004589755E0,1.879540801E0,7.898979707E0,1.349288025E2,4.744215543E0,3.364068358E0
6.472456658E1,5.233508451E1,5.004648912E0,2.061802828E0,8.750445403E0,1.559847565E2,4.744479016E0,3.363696761E0
6.572456551E1,5.233500454E1,5.004713641E0,2.411809335E0,9.751067427E0,1.603011627E2,4.745153416E0,3.362745321E0
6.672456551E1,5.233491931E1,5.004776338E0,2.726036109E0,1.037930532E1,1.574597015E2,4.746097619E0,3.361412564E0
6.772456491E1,5.233482813E1,5.004837223E0,2.478615597E0,1.094454812E1,1.574597015E2,4.746669272E0,3.360605281E0
6.872456479E1,5.233473152E1,5.004900896E0,2.119167666E0,1.159249026E1,1.582918243E2,4.747164888E0,3.359905141E0
6.972456515E1,5.233462780E1,5.004970780E0,1.891530071E0,1.253192870E1,1.582918243E2,4.747386470E0,3.359592049E0
7.072456455E1,5.233451731E1,5.005045549E0,1.625407662E0,1.328538097E1,1.586656494E2,4.747713111E0,3.359130431E0
7.172456491E1,5.233439898E1,5.005125657E0,1.229326535E0,1.402948082E1,1.619652405E2,4.747974460E0,3.358761016E0
