"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717775103704000E9,"2024-06-07 17:45:03.704 UTC+02:00"
"PAUSE",1.825817006916667E3,1.717776929526000E9,"2024-06-07 18:15:29.526 UTC+02:00"
