"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.110666667E-3,-3.383920491E-1,-4.482133687E-2,4.195277393E-2
1.906066667E-2,-4.297121465E-1,-8.227825910E-2,7.229085267E-2
2.901066667E-2,-4.930575490E-1,-1.299214065E-1,9.901274741E-2
3.896066667E-2,-5.384057164E-1,-2.075972110E-1,1.321213841E-1
4.891066667E-2,-5.464130640E-1,-3.946366012E-1,1.754251719E-1
5.886066667E-2,-5.417416692E-1,-6.124018431E-1,2.263321280E-1
6.881066667E-2,-5.288652778E-1,-6.879826188E-1,3.005195558E-1
7.876066667E-2,-5.404982567E-1,-7.177175283E-1,3.559108377E-1
8.871066667E-2,-5.783194304E-1,-6.640042067E-1,3.623905778E-1
9.866066667E-2,-6.490073204E-1,-6.693554521E-1,3.190766275E-1
1.086106667E-1,-6.997793913E-1,-7.565340400E-1,2.570308447E-1
1.185606667E-1,-7.388517857E-1,-8.116973042E-1,2.169227004E-1
1.285106667E-1,-7.727308869E-1,-8.335860968E-1,2.032372504E-1
1.384606667E-1,-8.642198443E-1,-8.320493698E-1,2.276472598E-1
1.484106667E-1,-9.483214021E-1,-7.831734419E-1,2.359310240E-1
1.583606667E-1,-9.974979758E-1,-7.337941527E-1,2.427939028E-1
1.683106667E-1,-1.014331341E0,-7.473390102E-1,2.572865486E-1
1.782606667E-1,-1.010020971E0,-8.310054541E-1,2.897720337E-1
1.882106667E-1,-1.002394557E0,-9.499717951E-1,3.302025497E-1
1.981606667E-1,-9.778281450E-1,-1.048209190E0,3.567688465E-1
2.081106667E-1,-9.322475791E-1,-1.136837363E0,3.555597663E-1
2.180606667E-1,-9.455075264E-1,-1.258833528E0,3.558450639E-1
2.280106667E-1,-9.945819378E-1,-1.349839687E0,3.567318916E-1
2.379606667E-1,-1.025592208E0,-1.435043693E0,3.363077343E-1
2.479106667E-1,-1.010344505E0,-1.486104846E0,3.030451238E-1
2.578606667E-1,-1.028470159E0,-1.466225147E0,3.064814508E-1
2.678106667E-1,-1.051107526E0,-1.406593204E0,3.045115173E-1
2.777606667E-1,-1.069957852E0,-1.285658479E0,2.972753942E-1
2.877106667E-1,-1.072238564E0,-1.102680683E0,3.011223376E-1
2.976606667E-1,-1.081468582E0,-9.497686625E-1,3.224042356E-1
3.076106667E-1,-1.103043914E0,-7.907321453E-1,3.669570386E-1
3.175606667E-1,-1.194017172E0,-5.195788741E-1,4.519961774E-1
3.275106667E-1,-1.337564468E0,-2.925353646E-1,5.628137589E-1
3.374606667E-1,-1.502486587E0,-2.337771356E-1,6.510706544E-1
3.474106667E-1,-1.705641031E0,-2.982416153E-1,6.897706389E-1
3.573606667E-1,-1.963415146E0,-5.608382225E-1,6.763621569E-1
3.673106667E-1,-2.267111301E0,-8.252613544E-1,5.059903860E-1
3.772606667E-1,-2.531465530E0,-1.081201911E0,3.746922016E-1
3.872106667E-1,-2.716747046E0,-1.176661372E0,2.840163410E-1
3.971596667E-1,-2.774593353E0,-1.179468989E0,2.728329301E-1
4.071096667E-1,-2.757227421E0,-1.008207202E0,2.956788540E-1
4.170606667E-1,-2.638576984E0,-8.885495067E-1,3.223775625E-1
4.270096667E-1,-2.405193090E0,-9.046613574E-1,3.295742273E-1
4.369596667E-1,-2.118084908E0,-8.162143230E-1,2.900149822E-1
4.469096667E-1,-1.814810038E0,-6.609600186E-1,1.831471175E-1
4.568596667E-1,-1.474371195E0,-5.835247636E-1,1.186588034E-2
4.668096667E-1,-1.122758269E0,-6.402138472E-1,-2.157409191E-1
4.767596667E-1,-7.950043082E-1,-7.358242273E-1,-4.663504958E-1
4.867067917E-1,-4.864701927E-1,-8.239594102E-1,-7.247862816E-1
4.966567917E-1,-2.526333630E-1,-7.844837308E-1,-8.767811656E-1
5.066067917E-1,-7.502394170E-2,-7.287741303E-1,-9.133477211E-1
5.165567917E-1,4.966457933E-2,-6.120011806E-1,-8.206937909E-1
5.265067917E-1,9.261124581E-2,-4.902502298E-1,-6.433421969E-1
5.364567917E-1,1.456498057E-1,-4.771246314E-1,-5.087174177E-1
5.464067917E-1,2.457862645E-1,-5.463316441E-1,-4.708307385E-1
5.563567917E-1,3.622570634E-1,-5.910238028E-1,-4.664191902E-1
5.663067917E-1,4.508892000E-1,-6.116864681E-1,-4.158710539E-1
5.762567917E-1,4.783160090E-1,-5.389859676E-1,-3.460866511E-1
5.862067917E-1,4.214631319E-1,-3.203422725E-1,-3.314453959E-1
5.961567917E-1,1.952153146E-1,-1.096515879E-1,-3.614701033E-1
6.061067917E-1,-1.744768769E-2,8.080117404E-2,-3.577992022E-1
6.160567917E-1,-2.017507553E-1,1.111643016E-1,-3.150006533E-1
6.260067917E-1,-3.093445897E-1,4.521351308E-2,-2.002165467E-1
6.359567917E-1,-3.007545173E-1,5.484258011E-2,-6.608922780E-2
6.459067917E-1,-1.881627291E-1,1.513669938E-1,2.859760262E-2
6.558567917E-1,-9.954113513E-3,2.981141806E-1,2.129618265E-2
6.658067917E-1,4.852730781E-2,3.351185322E-1,-4.902192205E-2
6.757567917E-1,1.515128016E-1,3.178210258E-1,-5.554400384E-2
6.857067917E-1,2.057808340E-1,3.489765525E-1,2.615698427E-2
6.956567917E-1,2.326999605E-1,3.253431320E-1,9.420345724E-2
7.056067917E-1,2.262311429E-1,1.748124808E-1,8.780202270E-2
7.155567917E-1,1.466337442E-1,2.090006322E-2,1.598949358E-2
7.255067917E-1,-3.934145346E-2,-6.862476468E-2,-9.990754724E-2
7.354567917E-1,-2.478038073E-1,-7.975815982E-2,-2.017723471E-1
7.454067917E-1,-3.731563985E-1,-7.894615829E-2,-2.945701778E-1
7.553567917E-1,-4.133482575E-1,1.026263367E-2,-4.475902319E-1
7.653067917E-1,-3.753273487E-1,2.427446097E-1,-6.750439405E-1
7.752567917E-1,-3.414076865E-1,4.804800451E-1,-8.365041018E-1
7.852067917E-1,-3.225716949E-1,6.107544303E-1,-9.495153427E-1
7.951567917E-1,-3.313095570E-1,6.903798580E-1,-9.605008364E-1
8.051067917E-1,-3.727715611E-1,8.265193105E-1,-8.934509754E-1
8.150567917E-1,-4.714602232E-1,9.558266997E-1,-7.787953615E-1
8.250067917E-1,-5.494107008E-1,9.226335883E-1,-7.208614349E-1
8.349567917E-1,-5.035772324E-1,7.617522478E-1,-8.165681362E-1
8.449067917E-1,-3.704362512E-1,5.437304378E-1,-9.560999870E-1
8.548567917E-1,-2.225256413E-1,1.727949083E-1,-1.038380027E0
8.648067917E-1,-7.383976132E-2,-1.467040032E-1,-1.060176611E0
8.747567917E-1,1.448564529E-1,-2.139624357E-1,-9.745272398E-1
8.847067917E-1,3.808122575E-1,-1.381606162E-1,-8.380913734E-1
8.946567917E-1,5.653976202E-1,-8.641929924E-2,-6.606552005E-1
