"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.449394226E-2,5.218002897E1,5.178999231E0,9.443843365E-1,NaN,NaN,4.000000000E3,6.982349873E0
6.198072910E0,5.217679584E1,5.178551758E0,-7.207374573E-1,8.500000000E0,2.225390625E2,7.083378698E1,3.200000000E1
7.198073983E0,5.217676906E1,5.178473135E0,2.324916840E0,8.500000000E0,2.211328125E2,7.637080945E1,3.000000000E0
8.198073864E0,5.217674073E1,5.178402560E0,2.302272797E0,8.420000076E0,2.186718750E2,8.240380656E1,3.000000000E0
9.198073983E0,5.217674593E1,5.178276580E0,2.240993500E0,8.420000076E0,2.032031250E2,2.831454715E1,3.000000000E0
1.019807398E1,5.217671076E1,5.178193683E0,2.204250336E0,1.040999985E1,2.049609375E2,3.124984417E1,3.000000000E0
1.119807374E1,5.217662444E1,5.178143009E0,2.204250097E0,1.025897049E1,1.997173646E2,2.000000000E2,8.543968201E0
1.219709408E1,5.217654142E1,5.178124579E0,2.250356674E0,1.009258537E1,1.996389753E2,2.000000000E2,5.339094639E0
1.319709599E1,5.217645897E1,5.178103259E0,2.256665707E0,9.925911181E0,1.995248467E2,2.000000000E2,5.090665340E0
2.480599105E1,5.217631321E1,5.178019176E0,-3.082915783E0,NaN,NaN,1.130588560E2,9.336204529E0
4.519716930E1,5.217232206E1,5.176026008E0,-1.657748461E0,2.631013491E1,1.952417211E2,2.000000000E2,2.009645271E1
4.619717407E1,5.217090877E1,5.175063126E0,3.149990082E0,2.606999969E1,1.958203125E2,1.418804091E2,3.000000000E0
4.719717085E1,5.217068335E1,5.174959245E0,3.150043441E0,2.606999969E1,1.958202305E2,1.418804091E2,3.000000028E0
4.819717157E1,5.217038791E1,5.174675795E0,2.823017069E0,2.606999969E1,2.007420809E2,6.519028521E1,3.000000006E0
4.919717300E1,5.217013888E1,5.174554225E0,2.866361224E0,2.822999954E1,2.007420721E2,6.869259416E1,3.000000008E0
5.019717348E1,5.216994298E1,5.174455279E0,3.035429541E0,2.844000053E1,2.003905106E2,7.099652892E1,3.000000008E0
5.119717467E1,5.216972091E1,5.174348410E0,3.105131689E0,2.844000053E1,2.003905106E2,7.728767293E1,3.000000010E0
5.221645606E1,5.216943407E1,5.174273913E0,3.215180547E0,2.844000053E1,1.993358267E2,2.012704592E2,3.000000070E0
6.019717968E1,5.216771573E1,5.173578862E0,3.215194702E0,2.455710860E1,1.979478066E2,2.000000000E2,2.279772568E1
6.119718027E1,5.216744041E1,5.173508936E0,2.683613777E0,2.425645200E1,1.978000606E2,2.000000000E2,7.594501495E0
6.219717979E1,5.216716516E1,5.173414152E0,2.593264341E0,2.397845587E1,1.976945156E2,2.000000000E2,6.476119041E0
6.419718087E1,5.216668181E1,5.173174683E0,2.477673292E0,2.350450310E1,1.976417720E2,2.000000000E2,8.828885078E0
6.519718146E1,5.216641688E1,5.173038690E0,2.398600817E0,2.326073247E1,1.976391313E2,2.000000000E2,8.454799652E0
6.619718230E1,5.216615060E1,5.172902320E0,2.316428900E0,2.303272361E1,1.976355366E2,2.000000000E2,8.355000496E0
8.019718432E1,5.216263941E1,5.170525104E0,2.553209305E0,2.656550906E1,2.024117832E2,3.904241276E2,1.899509048E1
8.119718552E1,5.216176826E1,5.169761558E0,1.425162673E0,2.649549873E1,2.025125767E2,3.202480597E2,1.563629436E1
9.017310798E1,5.215992601E1,5.168519929E0,-3.327881813E0,NaN,NaN,3.982168213E2,9.487526894E0
9.019260299E1,5.215992228E1,5.168517417E0,-3.606294870E0,NaN,NaN,3.982172367E2,6.926096916E0
1.071302510E2,5.215707796E1,5.166600539E0,-3.889546871E0,NaN,NaN,6.456400901E2,9.628056526E0
1.071371950E2,5.215707694E1,5.166599852E0,-3.901670218E0,NaN,NaN,6.456401333E2,6.960539818E0
1.143457310E2,5.215607703E1,5.165926035E0,-3.912640810E0,NaN,NaN,6.901275652E2,9.177151680E0
1.409304440E2,5.215532446E1,5.165418906E0,-3.914690256E0,NaN,NaN,7.684772237E2,9.770662308E0
1.723396910E2,5.215532446E1,5.165418906E0,-3.914809227E0,NaN,NaN,2.728001327E3,7.707995892E0
1.723483250E2,5.215532446E1,5.165418906E0,-3.914810181E0,NaN,NaN,2.728001327E3,6.131953239E0
1.882916260E2,5.214770374E1,5.146163005E0,-3.914811611E0,NaN,NaN,2.303000000E3,9.192098618E0
1.882973779E2,5.214498834E1,5.139301782E0,-3.914811611E0,NaN,NaN,2.303000000E3,6.782237530E0
2.068469180E2,5.212634185E1,5.146166765E0,-3.914811850E0,NaN,NaN,1.414000000E3,9.510256767E0
2.068612550E2,5.212284606E1,5.147453792E0,-3.914811850E0,NaN,NaN,1.414000000E3,6.928017616E0
2.093398000E2,5.212736143E1,5.146671888E0,-3.914811850E0,NaN,NaN,3.876590275E2,8.241373062E0
2.111396900E2,5.212752883E1,5.146644534E0,-3.914811850E0,NaN,NaN,3.816465383E2,8.067353249E0
2.117790830E2,5.212761741E1,5.146636764E0,-3.914811850E0,NaN,NaN,3.682861002E2,7.191129684E0
2.437489080E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.410045345E2,9.760788918E0
2.437535390E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.410045439E2,7.005675793E0
2.549328099E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.414057009E2,9.102760315E0
2.549506630E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.414057274E2,6.773607254E0
2.569686710E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.418842955E2,8.002789497E0
2.569734130E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.418842997E2,6.269454479E0
2.580551000E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.421226328E2,7.232987881E0
2.580610570E2,5.212758622E1,5.146652771E0,-3.914811850E0,NaN,NaN,4.421226413E2,5.886855602E0
2.764724990E2,5.212641211E1,5.146950438E0,-3.914811850E0,NaN,NaN,5.765659644E2,9.671422005E0
2.764750791E2,5.212540532E1,5.147205687E0,-3.914811850E0,NaN,NaN,5.765659688E2,6.977708340E0
2.900353400E2,5.212537852E1,5.147212481E0,-3.914811850E0,NaN,NaN,5.807564988E2,9.438062668E0
2.900380350E2,5.212537852E1,5.147212481E0,-3.914811850E0,NaN,NaN,5.807565002E2,6.883703709E0
3.004846740E2,5.212487130E1,5.146541107E0,-3.914811850E0,NaN,NaN,5.825928537E2,9.156199455E0
3.004923379E2,5.212443769E1,5.145967164E0,-3.914811850E0,NaN,NaN,5.825928559E2,6.780364037E0
3.010752900E2,5.212369936E1,5.146369675E0,-3.914811850E0,NaN,NaN,5.826083554E2,6.757325172E0
3.010816510E2,5.212306820E1,5.146713788E0,-3.914811850E0,NaN,NaN,5.826083579E2,5.626487732E0
3.041981854E2,5.211635131E1,5.141972536E0,-3.964119673E0,1.050829552E0,NaN,3.784818684E2,1.515505314E1
3.091981850E2,5.211282109E1,5.139184138E0,-7.349094391E0,1.585999966E1,2.172656250E2,1.096273062E2,6.400000000E1
3.101981860E2,5.211270765E1,5.139043954E0,-7.349074614E0,1.585999966E1,2.172655144E2,1.096273062E2,6.400000000E1
3.112182354E2,5.211272792E1,5.139052710E0,2.261440344E0,0.000000000E0,NaN,1.148695457E2,3.000000000E0
3.241981857E2,5.211262258E1,5.138152263E0,2.261430025E0,4.777934813E0,NaN,2.224559571E2,2.897651482E1
