"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.378353333E-1,-4.019443691E-1,-2.243151218E-1,-5.271346867E-2
8.477853333E-1,-3.739756644E-1,-2.004834861E-1,-5.743425339E-2
8.577343333E-1,-3.499256968E-1,-1.800482422E-1,-3.492788225E-2
8.676843334E-1,-3.263075352E-1,-8.799886703E-2,1.329302341E-1
8.776333333E-1,-3.632543683E-1,-1.150675490E-2,5.148757100E-1
8.875833334E-1,-3.832651675E-1,1.230163965E-2,8.514941335E-1
8.975333333E-1,-3.823485076E-1,6.832362711E-2,9.583569169E-1
9.074823333E-1,-2.953610122E-1,1.908469945E-1,8.930862546E-1
9.174323333E-1,-1.320679337E-1,3.560417891E-1,7.816076875E-1
9.273823333E-1,-4.240301996E-2,4.831854403E-1,7.171412706E-1
9.373313333E-1,3.048770316E-2,4.608319402E-1,6.263916492E-1
9.472813333E-1,1.235386133E-1,4.973100722E-1,5.793784261E-1
9.572303334E-1,2.456759661E-1,4.764633775E-1,5.647140145E-1
9.671803333E-1,3.455305696E-1,4.245533347E-1,4.964804351E-1
9.771304167E-1,3.961492479E-1,4.214193225E-1,4.056770205E-1
9.870794167E-1,3.898383677E-1,3.500051200E-1,3.236668408E-1
9.970294167E-1,3.091054261E-1,2.208172977E-1,2.138910741E-1
1.006978417E0,1.808497012E-1,1.823523492E-1,8.044163138E-2
1.016928417E0,-4.564601928E-2,2.764362395E-1,-1.003356054E-1
1.026878417E0,-3.873721063E-1,4.658301771E-1,-2.978502810E-1
1.036827417E0,-5.985629559E-1,4.514166117E-1,-4.042411745E-1
1.046777417E0,-6.760092974E-1,2.521424592E-1,-4.659191072E-1
1.056727417E0,-6.573756933E-1,6.673531979E-2,-5.006411076E-1
1.066676417E0,-5.395905375E-1,-6.489145011E-2,-4.584376216E-1
1.076626417E0,-4.019674361E-1,-1.865129620E-1,-3.928852677E-1
1.086575417E0,-3.038881123E-1,-2.859105468E-1,-3.107041419E-1
1.096525417E0,-2.924229503E-1,-2.830156982E-1,-2.213382870E-1
1.106475417E0,-3.716635704E-1,-1.067112535E-1,-1.566536576E-1
1.116424417E0,-5.106888413E-1,1.301513612E-1,-8.601064980E-2
1.126374417E0,-7.007868290E-1,3.578984141E-1,-2.469140850E-2
1.136323417E0,-9.218155742E-1,5.735185742E-1,2.161776647E-2
1.146273417E0,-1.161302924E0,8.048154116E-1,5.223591998E-2
1.156223417E0,-1.330675721E0,8.859819174E-1,7.027830184E-2
1.166172417E0,-1.337108731E0,8.737822175E-1,3.939193487E-2
1.176122417E0,-1.190775990E0,8.345389366E-1,-1.213730313E-2
1.186072417E0,-9.114776254E-1,8.296955228E-1,-3.050803393E-2
1.196021417E0,-5.609025955E-1,8.116217256E-1,6.147450767E-3
1.205971417E0,-2.411780655E-1,6.520733833E-1,1.339268684E-2
1.215920417E0,1.710622013E-2,4.436107278E-1,2.211134322E-2
1.225870417E0,1.646026522E-1,2.276890129E-1,3.039724752E-2
1.235820417E0,2.154533118E-1,1.733471081E-2,3.017114475E-2
1.245769417E0,2.352449894E-1,-1.601634026E-1,3.545544297E-2
1.255719417E0,3.043241799E-1,-2.467150837E-1,4.529555887E-2
1.265669417E0,3.445588350E-1,-3.213608265E-1,5.888679624E-2
1.275618417E0,3.641099036E-1,-3.266045749E-1,7.315148413E-2
1.285568417E0,3.551547527E-1,-3.281989098E-1,9.805515409E-2
1.295517417E0,3.361544311E-1,-3.265184462E-1,1.169864982E-1
1.305467417E0,3.155526817E-1,-3.139438629E-1,9.522794932E-2
1.315417417E0,3.052435815E-1,-2.765575945E-1,5.656977743E-2
1.325366417E0,3.054998517E-1,-1.843841076E-1,2.022952959E-2
1.335316417E0,2.964096665E-1,-8.702612668E-2,4.617014434E-3
1.345265417E0,2.619832158E-1,-5.917783082E-2,1.322115771E-3
1.355215417E0,1.888283193E-1,-5.529654026E-2,1.195451990E-2
1.365165417E0,1.126653254E-1,-4.781613871E-2,1.331639197E-2
1.375114417E0,4.816968739E-2,-3.870706260E-2,9.194617160E-3
1.385064417E0,1.543965563E-2,-6.796131283E-2,-2.776613459E-2
1.395014417E0,1.307929680E-2,-1.052506268E-1,-7.826633006E-2
1.404963417E0,2.319800295E-2,-8.260113001E-2,-1.108745635E-1
1.414913417E0,2.009781823E-2,-6.857000291E-2,-1.256519109E-1
1.424863417E0,-3.259262536E-3,-9.572210908E-2,-1.208599582E-1
1.434812417E0,-5.751424283E-2,-1.396296471E-1,-1.104531288E-1
1.444762417E0,-1.137324274E-1,-1.409422308E-1,-8.850976080E-2
1.454711417E0,-1.376409531E-1,-1.301630884E-1,-7.748640329E-2
1.464661417E0,-1.310856938E-1,-1.513670832E-1,-6.751634926E-2
1.474611417E0,-9.666673094E-2,-1.848028004E-1,-6.506783515E-2
1.484560417E0,-4.398707300E-2,-2.130645066E-1,-6.580601633E-2
1.494510417E0,1.875513792E-2,-2.236844003E-1,-7.782752812E-2
1.504459417E0,5.724763125E-2,-2.299810797E-1,-7.622250915E-2
1.514409417E0,4.168384895E-2,-2.438281775E-1,-3.611344099E-2
1.524359417E0,-2.871308010E-3,-2.872736752E-1,4.292258993E-3
1.534308417E0,-6.622045487E-2,-3.738916814E-1,-3.552231938E-4
1.544258417E0,-1.712248623E-1,-3.930367529E-1,-5.205311999E-2
1.554208417E0,-2.700388134E-1,-2.636747956E-1,-1.278317720E-1
1.564157417E0,-3.488640785E-1,-9.053564072E-2,-2.002217770E-1
1.574107417E0,-3.993775845E-1,5.338770896E-2,-2.575372458E-1
1.584057417E0,-4.276778102E-1,1.920009553E-1,-2.811197639E-1
1.594006417E0,-4.398681521E-1,2.065300941E-1,-2.562953532E-1
1.603956417E0,-4.139061272E-1,1.419412792E-1,-1.996427029E-1
1.613905417E0,-3.688603342E-1,7.359151542E-2,-1.236278340E-1
1.623855417E0,-3.434131742E-1,-2.164267935E-4,-6.300970912E-2
1.633805417E0,-3.444587290E-1,-6.761969626E-2,-1.722517051E-2
1.643754417E0,-3.646153212E-1,-1.313399822E-1,5.731418263E-3
1.653704417E0,-4.129421115E-1,-1.563955247E-1,9.073952213E-3
1.663654417E0,-4.591950476E-1,-1.762108505E-1,8.654041216E-3
1.673603417E0,-4.975584149E-1,-2.400540113E-1,2.237198502E-2
1.683553417E0,-5.119214058E-1,-3.157427311E-1,3.642198816E-2
1.693502417E0,-5.072454214E-1,-3.835017979E-1,4.706451297E-2
1.703452417E0,-4.899339676E-1,-4.185160697E-1,4.357407987E-2
1.713402417E0,-4.532025754E-1,-4.286171794E-1,2.250341326E-2
1.723351417E0,-4.112653136E-1,-4.140604436E-1,1.837946940E-3
1.733301417E0,-3.476929963E-1,-4.023305476E-1,-1.838796213E-2
1.743250417E0,-2.710419595E-1,-3.943472505E-1,-3.593302518E-2
1.753200417E0,-2.040101886E-1,-3.638234138E-1,-6.244692206E-2
1.763150417E0,-1.598651409E-1,-3.336745501E-1,-8.954241127E-2
1.773099417E0,-1.092597544E-1,-2.991695702E-1,-1.149311215E-1
1.783049417E0,-5.187302455E-2,-2.497013509E-1,-1.239003241E-1
1.792999417E0,-9.558856487E-3,-2.001215518E-1,-1.154588982E-1
1.802948417E0,1.177525148E-3,-1.453433335E-1,-1.008030847E-1
1.812898417E0,-8.395473473E-3,-9.270808846E-2,-8.548457921E-2
1.822848417E0,-1.761258021E-2,-6.364117563E-2,-6.711608171E-2
1.832797417E0,-3.302775323E-2,-4.163946584E-2,-4.225974157E-2
1.842747417E0,-4.427783191E-2,4.056578502E-3,-9.139860049E-3
1.852696417E0,-2.053521946E-2,9.178962559E-2,8.997332305E-3
1.862646417E0,7.558571175E-3,1.323731542E-1,1.556124911E-2
1.872596417E0,2.005731873E-2,1.043361947E-1,1.152149960E-2
1.882545417E0,8.737279102E-3,7.232895494E-2,-1.011752058E-3
1.892495417E0,-1.053628512E-2,4.540892318E-2,-1.099301316E-2
1.902445417E0,-3.999082372E-2,-2.046618145E-3,-1.449648850E-2
1.912394417E0,-8.261791617E-2,-6.452411413E-2,-1.716870442E-2
1.922344417E0,-1.257411838E-1,-8.278283477E-2,-1.781988703E-2
1.932294417E0,-1.597138047E-1,-4.976497218E-2,-8.988311514E-3
1.942243417E0,-1.753282398E-1,-8.376570418E-3,2.022544621E-3
1.952193417E0,-1.515028030E-1,1.952936314E-2,3.533355892E-3
1.962142417E0,-1.108390763E-1,-6.765139755E-3,1.888569631E-2
1.972093167E0,-5.280772969E-2,-3.736299649E-2,1.869954169E-2
1.982043167E0,-1.302201487E-2,-4.907523096E-2,1.735563949E-2
1.991992167E0,-1.412163395E-2,-4.498727992E-2,1.685922593E-2
2.001942167E0,-4.582662135E-2,-4.320266098E-2,2.912179753E-2
2.011892167E0,-8.824305236E-2,-4.164684191E-2,3.988869488E-2
2.021841167E0,-1.261668205E-1,-4.810136184E-2,5.197397992E-2
2.031791167E0,-1.384959221E-1,-8.360503614E-2,5.093881115E-2
2.041740167E0,-1.200529486E-1,-1.604079455E-1,4.540485889E-2
2.051690167E0,-1.091294661E-1,-1.971505135E-1,3.764094785E-2
2.061640167E0,-8.944328129E-2,-1.385917664E-1,2.534580417E-2
2.071589167E0,-2.552261949E-2,4.437140003E-2,3.151848167E-2
2.081539167E0,8.617908508E-2,3.124590516E-1,9.788115323E-2
2.091489167E0,1.820957512E-1,4.645290077E-1,1.644601822E-1
2.101438167E0,2.477414310E-1,5.380903482E-1,1.976519525E-1
2.111388167E0,2.779065073E-1,5.814229250E-1,1.757112294E-1
2.121338167E0,2.861180305E-1,5.646892786E-1,1.450071484E-1
2.131287167E0,2.678253353E-1,4.876322746E-1,1.442209929E-1
2.141237167E0,2.136183083E-1,3.961826265E-1,1.523093134E-1
2.151186167E0,1.465460658E-1,3.243073523E-1,1.556758136E-1
2.161136167E0,7.915447652E-2,2.707450092E-1,1.523251384E-1
2.171086167E0,1.542450115E-2,2.154023796E-1,1.474100053E-1
2.181035167E0,-4.887556285E-2,1.107213199E-1,1.352590472E-1
2.190985167E0,-1.203609332E-1,-2.498431504E-2,1.169468984E-1
2.200935167E0,-1.554287225E-1,-1.141809672E-1,8.307486773E-2
2.210884167E0,-1.634017080E-1,-1.278182119E-1,5.051985383E-2
2.220834167E0,-1.817252934E-1,-1.130796000E-1,3.076489083E-2
2.230784167E0,-1.954243332E-1,-1.059513837E-1,7.363693323E-3
2.240733167E0,-1.936888546E-1,-1.095339805E-1,-1.146792527E-2
2.250683167E0,-1.690338403E-1,-1.007556692E-1,-3.068449721E-2
2.260632167E0,-1.181661338E-1,-7.409080863E-2,-4.116072506E-2
2.270582167E0,-6.721240282E-2,-6.754981726E-2,-3.927573562E-2
2.280532167E0,-6.006673351E-2,-1.415647417E-1,-5.773440003E-3
2.290481167E0,-9.222812951E-2,-2.238329798E-1,5.220251530E-2
2.300431167E0,-1.160951778E-1,-1.932607740E-1,8.005638421E-2
2.310381167E0,-1.008986533E-1,-9.329371154E-2,6.968230754E-2
2.320330167E0,-7.714361697E-2,-4.779686034E-2,4.831603914E-2
2.330280167E0,-5.643221363E-2,-5.853632092E-2,2.547650039E-2
2.340229167E0,-5.699063092E-2,-6.578131020E-2,-1.739217434E-3
2.350179167E0,-6.984810531E-2,-6.977605075E-2,1.399317756E-3
2.360129167E0,-8.537960798E-2,-7.269544154E-2,2.042569220E-2
2.370078167E0,-5.835571140E-2,-6.430009007E-2,3.922228143E-2
2.380028167E0,-1.286759507E-2,-5.195805803E-3,5.006306618E-2
2.389978167E0,2.304619551E-2,6.309350580E-2,5.375154316E-2
2.399927167E0,4.742377251E-2,1.433695257E-1,5.194551498E-2
2.409877167E0,8.149705082E-2,2.035018355E-1,4.788792133E-2
2.419827167E0,1.127952635E-1,1.757673621E-1,3.656205162E-2
2.429776167E0,1.146613434E-1,1.301713735E-1,-7.582507096E-3
2.439726167E0,8.866956830E-2,9.777060151E-2,-4.381513223E-2
2.449676167E0,5.393502489E-2,1.286587417E-1,-2.921674773E-2
2.459625167E0,4.084084928E-2,1.905638725E-1,1.179135591E-2
2.469575167E0,2.128872089E-2,2.080579102E-1,4.632136971E-2
2.479524167E0,2.231010795E-2,2.087810189E-1,4.896613955E-2
2.489474167E0,3.297553584E-2,2.179697156E-1,4.540016502E-2
2.499424167E0,4.918368533E-2,2.132764608E-1,5.197545514E-2
2.509373167E0,5.047505349E-2,1.696086079E-1,5.158343911E-2
2.519323167E0,3.876481205E-2,1.153315604E-1,3.427187353E-2
2.529273167E0,2.121111751E-2,3.247795627E-2,1.762259007E-2
2.539222167E0,-1.783624664E-2,-5.815267563E-2,-4.286164418E-3
2.549172167E0,-7.765510678E-2,-1.587298810E-1,-2.957740799E-2
2.559122167E0,-1.512042731E-1,-2.425323874E-1,-5.494102091E-2
2.569071167E0,-2.235266715E-1,-2.600620985E-1,-1.059970185E-1
2.579021167E0,-2.863025665E-1,-2.274926603E-1,-1.652946174E-1
2.588970167E0,-3.776916265E-1,-1.772995293E-1,-1.985455155E-1
2.598920167E0,-4.835244715E-1,-1.604706794E-1,-1.569703668E-1
2.608870167E0,-5.472030640E-1,-1.870903075E-1,-1.477704793E-1
2.618819167E0,-5.659340620E-1,-2.099208832E-1,-1.764934063E-1
2.628769167E0,-5.408684015E-1,-1.645709723E-1,-1.846019328E-1
2.638719167E0,-5.189046860E-1,-1.367467791E-1,-1.727715433E-1
2.648668167E0,-4.949384034E-1,-1.608550400E-1,-1.410053521E-1
2.658618167E0,-4.504732192E-1,-2.159652561E-1,-9.858539701E-2
2.668568167E0,-3.968009353E-1,-2.765590847E-1,-7.817599177E-2
2.678517167E0,-3.407560289E-1,-2.864317596E-1,-6.967133284E-2
2.688467167E0,-2.859795988E-1,-2.483352274E-1,-6.090501323E-2
2.698416167E0,-2.180896103E-1,-1.829569489E-1,-3.032064252E-2
2.708366167E0,-1.130563989E-1,-4.838342965E-2,2.716368996E-2
2.718316167E0,1.093670260E-2,2.203251049E-2,8.219555765E-2
2.728265167E0,8.664211631E-2,-4.653882608E-2,9.717371315E-2
2.738215167E0,9.355984628E-2,-1.559869498E-1,8.452307433E-2
2.748165167E0,5.317859724E-2,-2.113277018E-1,7.425366342E-2
2.758114167E0,-1.027963124E-2,-2.068477124E-1,6.200110540E-2
2.768064167E0,-5.740719661E-2,-1.769931465E-1,4.677661136E-2
2.778014167E0,-7.605944574E-2,-1.418576539E-1,2.614341117E-2
2.787963167E0,-6.255321950E-2,-8.174824715E-2,1.802918734E-3
2.797913167E0,-3.456703201E-2,-3.292543814E-2,-2.246333472E-2
2.807863167E0,-5.712213926E-3,-1.290219463E-2,-4.027748108E-2
2.817812167E0,-1.178559382E-2,-8.153253235E-3,-5.966184661E-2
2.827762167E0,-3.876234964E-2,-3.036854416E-2,-7.175552845E-2
2.837711167E0,-3.958884627E-2,-6.625994574E-3,-8.003538102E-2
2.847661167E0,2.753959224E-2,1.484615952E-1,-4.913578555E-2
2.857611167E0,1.465149969E-1,2.695444524E-1,-1.412078179E-2
2.867560167E0,2.295824438E-1,2.531814575E-1,-1.984391361E-2
2.877510167E0,2.420222163E-1,2.148963809E-1,-4.131330550E-2
2.887460167E0,1.985501200E-1,1.885265708E-1,-6.459439546E-2
2.897409167E0,1.277843863E-1,1.268759519E-1,-6.186336651E-2
2.907359167E0,5.752114207E-2,4.603116959E-2,-6.614998728E-2
2.917309167E0,2.332731709E-2,-3.565217555E-2,-8.347892761E-2
2.927258167E0,4.754636809E-2,-8.246974647E-2,-9.447591752E-2
2.937208167E0,9.772651643E-2,-4.356930032E-2,-9.341421723E-2
2.947158167E0,1.402734369E-1,3.093929030E-2,-9.319956601E-2
2.957107167E0,1.627772599E-1,6.587354839E-2,-1.014593095E-1
2.967057167E0,1.626137495E-1,5.718871579E-2,-1.079571545E-1
2.977005667E0,1.457872987E-1,3.131418303E-2,-1.087694019E-1
2.986955667E0,1.164896041E-1,1.155965030E-2,-1.000851020E-1
2.996905667E0,6.389456987E-2,-4.361258820E-3,-9.678437561E-2
3.006854667E0,2.008871734E-2,-9.715995751E-3,-8.026778698E-2
