"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718549052062000E9,"2024-06-16 16:44:12.062 UTC+02:00"
"PAUSE",6.500051926665474E2,1.718549702063000E9,"2024-06-16 16:55:02.063 UTC+02:00"
