"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717854557811199E9,"2024-06-08 15:49:17.811 UTC+02:00"
"PAUSE",1.789038819916666E3,1.717856346850382E9,"2024-06-08 16:19:06.850 UTC+02:00"
