"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718477667794000E9,"2024-06-15 20:54:27.794 UTC+02:00"
"PAUSE",6.013828886249994E2,1.718478269177000E9,"2024-06-15 21:04:29.177 UTC+02:00"
