"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717871383226079E9,"2024-06-08 20:29:43.226 UTC+02:00"
"PAUSE",3.577788639583305E2,1.717871741042890E9,"2024-06-08 20:35:41.043 UTC+02:00"
