"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718214817823000E9,"2024-06-12 19:53:37.823 UTC+02:00"
"PAUSE",6.356935864583356E2,1.718215453517000E9,"2024-06-12 20:04:13.517 UTC+02:00"
