"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717587522089000E9,"2024-06-05 13:38:42.089 UTC+02:00"
"PAUSE",2.179020124166855E2,1.717587739991000E9,"2024-06-05 13:42:19.991 UTC+02:00"
