"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718218793046000E9,"2024-06-12 20:59:53.046 UTC+02:00"
"PAUSE",6.500170499166707E2,1.718219443060000E9,"2024-06-12 21:10:43.060 UTC+02:00"
