"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.651541679E-3,-2.291072160E-1,-1.577925682E0,-1.954715252E-1
1.168254169E-2,-3.967889249E-1,-1.560984015E0,-1.901904792E-1
2.171254170E-2,-6.100927591E-1,-1.519606352E0,-1.615873277E-1
3.174254170E-2,-8.303607106E-1,-1.500708222E0,-1.213437766E-1
4.177354171E-2,-1.011983037E0,-1.479709029E0,-7.045526803E-2
5.180354172E-2,-1.104297519E0,-1.458282828E0,-1.724237949E-2
6.183354172E-2,-1.101891756E0,-1.488084793E0,2.748900652E-2
7.186354173E-2,-1.025223613E0,-1.564019442E0,4.905315489E-2
8.189454174E-2,-8.975473046E-1,-1.639130712E0,4.929909483E-2
9.192454175E-2,-7.559177279E-1,-1.703331232E0,3.173608333E-2
1.019545418E-1,-6.127231717E-1,-1.747249961E0,-4.045343958E-3
1.119855418E-1,-4.803187847E-1,-1.707963824E0,-4.767591134E-2
1.220155418E-1,-3.631772697E-1,-1.551777840E0,-7.352492213E-2
1.320455418E-1,-2.539224029E-1,-1.251278758E0,-6.681322306E-2
1.420765417E-1,-1.477138549E-1,-9.033247232E-1,-4.130543768E-2
1.521065417E-1,-5.111008510E-2,-6.202661395E-1,-1.487409696E-2
1.621365417E-1,3.143951297E-2,-4.464698434E-1,8.503031917E-3
1.721675417E-1,1.083433479E-1,-3.742124140E-1,3.934856132E-2
1.821975417E-1,1.741562784E-1,-3.677523732E-1,6.761372834E-2
1.922275417E-1,2.240311652E-1,-4.045513868E-1,6.250978261E-2
2.022575417E-1,2.324130535E-1,-4.970058203E-1,1.433485933E-2
2.122885417E-1,1.858034730E-1,-6.471828222E-1,-5.757927895E-2
2.223185417E-1,6.616716087E-2,-8.686216474E-1,-1.249544844E-1
2.323485417E-1,-1.305914372E-1,-1.116593599E0,-1.910650581E-1
2.423795417E-1,-3.701981306E-1,-1.263115883E0,-2.649853826E-1
2.524095417E-1,-6.168574095E-1,-1.268177390E0,-3.201735318E-1
2.624395418E-1,-8.567200899E-1,-1.188563585E0,-3.637689352E-1
2.724705418E-1,-1.046558976E0,-1.105391145E0,-3.713741302E-1
2.825005418E-1,-1.203445196E0,-1.092503905E0,-4.127671421E-1
2.925305418E-1,-1.250749111E0,-1.044746041E0,-5.073218942E-1
3.025605418E-1,-1.174392462E0,-9.126725197E-1,-5.671339035E-1
3.125915417E-1,-1.075342536E0,-9.044085145E-1,-6.376490593E-1
3.226215417E-1,-9.965693355E-1,-1.000408411E0,-7.404917479E-1
3.326515417E-1,-9.672865272E-1,-1.116981387E0,-8.631004691E-1
3.426825417E-1,-9.941545725E-1,-1.258968234E0,-9.691978693E-1
3.527125417E-1,-1.075549483E0,-1.409641981E0,-1.026944757E0
3.627425417E-1,-1.176533937E0,-1.533413053E0,-1.023603201E0
3.727735417E-1,-1.275678992E0,-1.644611835E0,-9.627408385E-1
3.828035417E-1,-1.360384464E0,-1.731703639E0,-8.700129390E-1
3.928335417E-1,-1.393966556E0,-1.689022422E0,-7.666191459E-1
4.028635417E-1,-1.335844636E0,-1.519013524E0,-6.446722150E-1
4.128945417E-1,-1.432333589E0,-9.498957396E-1,-5.513952971E-1
4.229245418E-1,-1.426460266E0,-4.915542305E-1,-4.045076072E-1
4.329545418E-1,-1.350933552E0,9.961872362E-3,-2.402629852E-1
4.429855418E-1,-1.298127174E0,3.214457333E-1,-1.325834543E-1
4.530155418E-1,-1.180109024E0,4.139165580E-1,-5.152587593E-2
4.630455418E-1,-1.036302209E0,4.410871267E-1,4.872000776E-3
4.730765417E-1,-8.080973625E-1,3.453331590E-1,5.282993987E-2
4.831065417E-1,-5.975993276E-1,-1.135202590E-2,1.174842715E-1
4.931365417E-1,-4.132664800E-1,-4.939977527E-1,2.013072670E-1
5.031665417E-1,-2.024640441E-1,-9.552382827E-1,3.241307139E-1
5.131975417E-1,-1.474475209E-2,-1.343196630E0,4.899351001E-1
5.232275417E-1,1.772225797E-1,-1.576965928E0,6.966452003E-1
5.332575417E-1,3.231896162E-1,-1.707151055E0,9.222940207E-1
5.432885417E-1,4.179136157E-1,-1.741962194E0,1.122160316E0
5.533185417E-1,4.151098430E-1,-1.776178002E0,1.260397553E0
5.633485417E-1,3.675338328E-1,-1.735322356E0,1.314911485E0
5.733795417E-1,3.106966615E-1,-1.562020898E0,1.287812591E0
5.834095418E-1,2.638179660E-1,-1.271581292E0,1.196272612E0
5.934395418E-1,2.304938287E-1,-8.917045593E-1,1.047618389E0
6.034695418E-1,1.988423467E-1,-4.432289004E-1,8.581147194E-1
6.135005418E-1,1.767069399E-1,1.274928544E-2,6.294857860E-1
6.235305418E-1,1.839660555E-1,5.386953354E-1,3.997589350E-1
6.335605417E-1,2.660622895E-1,1.203769922E0,2.273799926E-1
6.435915417E-1,4.079334140E-1,1.970310211E0,1.849122196E-1
6.536215417E-1,5.398517847E-1,2.613973618E0,2.840082049E-1
6.636515417E-1,5.856892467E-1,2.959418297E0,4.805078208E-1
6.736815417E-1,5.366042256E-1,3.018500090E0,7.715218663E-1
6.837125417E-1,4.301753044E-1,3.067767859E0,1.103541255E0
6.937425417E-1,3.377385736E-1,2.871034861E0,1.427196622E0
7.037725417E-1,2.642703056E-1,2.375969648E0,1.706124067E0
7.138035417E-1,2.200565189E-1,1.744393706E0,1.893990040E0
7.238335417E-1,1.808342934E-1,1.179827452E0,1.965124488E0
7.338635417E-1,1.302342266E-1,7.571560740E-1,1.941718340E0
7.438945418E-1,8.066441864E-2,4.781169891E-1,1.869817138E0
7.539245418E-1,5.166339874E-2,4.286693037E-1,1.734632611E0
7.639545418E-1,5.264722183E-2,4.949632883E-1,1.565454841E0
7.739845418E-1,9.852682054E-2,6.353427768E-1,1.407476902E0
7.840155417E-1,2.076398581E-1,8.707565069E-1,1.262842774E0
7.940455417E-1,3.602831662E-1,1.225566030E0,1.120941520E0
8.040755417E-1,5.205505490E-1,1.538022518E0,9.718292356E-1
8.141065417E-1,5.926377773E-1,1.583858967E0,8.583213091E-1
8.241365417E-1,5.565199256E-1,1.396655679E0,7.345016599E-1
8.341665417E-1,4.392284453E-1,1.487151265E0,5.899671316E-1
8.441965417E-1,2.810450196E-1,1.419770122E0,4.294785261E-1
8.542275417E-1,1.696159393E-1,1.201306820E0,2.589203715E-1
8.642575417E-1,8.198527992E-2,1.100703955E0,7.629842311E-2
8.742875417E-1,1.952297240E-2,9.288733006E-1,-6.295347959E-2
8.843185417E-1,-2.992357314E-2,7.044664621E-1,-1.303795129E-1
8.943485417E-1,-6.279603392E-2,4.740295410E-1,-1.403993964E-1
9.043785417E-1,-8.360351622E-2,2.442873567E-1,-1.258002222E-1
9.144086667E-1,-7.081714272E-2,1.045381837E-2,-1.090984792E-1
9.244396667E-1,-2.156664059E-2,-2.577423453E-1,-9.935341030E-2
9.344696667E-1,4.867822677E-2,-5.119565129E-1,-1.016117707E-1
9.444996667E-1,1.570342034E-1,-7.583116293E-1,-1.328536421E-1
9.545306667E-1,3.180928826E-1,-1.185820103E0,-9.483569115E-2
9.645606667E-1,3.994146585E-1,-1.633473158E0,-1.359458119E-1
9.745906667E-1,4.380832314E-1,-1.971944690E0,-2.219097316E-1
9.846216667E-1,4.259796143E-1,-2.261446238E0,-3.305657506E-1
9.946516667E-1,3.614113033E-1,-2.469797850E0,-4.402520359E-1
1.004681667E0,2.449545562E-1,-2.597908020E0,-5.572001338E-1
1.014711667E0,9.775151312E-2,-2.637132406E0,-6.527282596E-1
1.024742667E0,-6.003350019E-2,-2.995686531E0,-6.417818666E-1
1.034772667E0,-3.280931711E-1,-3.078162432E0,-6.156743169E-1
1.044802667E0,-7.526599169E-1,-2.425799847E0,-5.933979750E-1
1.054832667E0,-9.493239522E-1,-1.312380075E0,-5.538303256E-1
1.064863667E0,-9.736153483E-1,-3.299550116E-1,-4.437288046E-1
1.074893667E0,-8.802009821E-1,2.099620402E-1,-2.447829396E-1
1.084923667E0,-7.511050105E-1,4.142195284E-1,2.401664294E-2
1.094954667E0,-5.533844829E-1,3.678677380E-1,3.441115618E-1
1.104984667E0,-3.113924861E-1,2.520716786E-1,6.684388518E-1
1.115014667E0,-8.687869459E-2,-9.641999006E-2,9.239175320E-1
1.125045667E0,1.280229986E-1,-6.260026693E-1,9.411240220E-1
1.135075667E0,3.282660842E-1,-1.181765556E0,7.579816580E-1
1.145105667E0,5.229089856E-1,-1.597408652E0,5.180904269E-1
1.155135667E0,6.973894835E-1,-1.891252756E0,3.075265884E-1
1.165166667E0,8.126092553E-1,-2.081574202E0,1.488797963E-1
1.175196667E0,8.542957306E-1,-2.108368397E0,6.390977651E-2
1.185226667E0,8.418699503E-1,-2.034316063E0,5.983833596E-2
1.195257667E0,7.663056850E-1,-1.933302879E0,1.103337407E-1
1.205287667E0,6.366091371E-1,-1.818395495E0,1.471874565E-1
1.215317667E0,4.827905595E-1,-1.679160833E0,1.534722596E-1
1.225347667E0,3.374678791E-1,-1.555903077E0,1.320452094E-1
1.235378667E0,2.234536856E-1,-1.426944017E0,9.992375970E-2
1.245408667E0,1.494162083E-1,-1.277246952E0,6.545189023E-2
1.255438667E0,9.218780696E-2,-1.118386149E0,3.660266474E-2
1.265468667E0,4.668955505E-2,-1.003086925E0,2.085899748E-2
1.275499667E0,4.496808723E-2,-9.260911345E-1,4.241409153E-2
