"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.143240631E1,5.233490403E1,5.000043294E0,2.688613305E0,1.657951753E1,6.982089669E1,4.850575028E0,3.208809582E0
4.243240619E1,5.233496508E1,5.000273116E0,2.331118226E0,1.681236535E1,6.756517772E1,4.825498845E0,3.246397685E0
4.343240643E1,5.233502569E1,5.000500341E0,2.360118072E0,1.692433696E1,6.714110083E1,4.816267656E0,3.260077132E0
4.443240786E1,5.233507829E1,5.000736429E0,2.143062452E0,1.709376494E1,6.806075411E1,4.804438211E0,3.277485394E0
4.543240869E1,5.233513283E1,5.000969966E0,1.657719440E0,1.705320244E1,6.929855082E1,4.800180705E0,3.283717745E0
4.643240869E1,5.233518256E1,5.001207019E0,1.350239558E0,1.703994982E1,7.017508617E1,4.794459070E0,3.292066108E0
4.743240952E1,5.233522756E1,5.001444496E0,1.306648378E0,1.709628187E1,7.179525087E1,4.793442672E0,3.293545868E0
4.843240952E1,5.233527376E1,5.001683535E0,2.461667908E-1,1.705267370E1,7.329302668E1,4.795526375E0,3.290511179E0
4.943240952E1,5.233530932E1,5.001909873E0,5.395660494E-1,1.636438316E1,7.502559851E1,4.807500808E0,3.272991447E0
5.043241096E1,5.233532618E1,5.002114893E0,-1.221225206E-1,1.515338379E1,7.802600240E1,4.812750450E0,3.265267239E0
5.143241143E1,5.233533917E1,5.002311192E0,-9.378522756E-1,1.401079689E1,8.078157640E1,4.792475999E0,3.294952326E0
5.243241024E1,5.233535287E1,5.002458965E0,-7.091555446E-1,1.197698101E1,8.126409545E1,4.784960721E0,3.305856611E0
5.343241167E1,5.233536555E1,5.002595762E0,-2.162947142E-1,1.035818952E1,8.154829387E1,4.789948561E0,3.298625444E0
5.443241203E1,5.233536575E1,5.002692881E0,-8.547155429E-1,8.184152672E0,8.450308153E1,4.791282067E0,3.296688214E0
5.543241215E1,5.233536762E1,5.002755023E0,-7.791468063E-1,6.060498098E0,8.538552635E1,4.785749811E0,3.304714175E0
5.643241131E1,5.233536717E1,5.002787053E0,-7.730801823E-1,3.693294400E0,8.778461213E1,4.778411371E0,3.315316244E0
5.743241251E1,5.233536782E1,5.002799838E0,-5.007098811E-1,1.796717789E0,8.796636775E1,4.778621183E0,3.315013819E0
5.843241215E1,5.233536780E1,5.002793524E0,-2.605925463E-1,5.690666816E-1,8.744045085E1,4.778915123E0,3.314590062E0
5.943241191E1,5.233536638E1,5.002793550E0,-1.588110803E-1,1.203475194E-1,8.747249300E1,4.780785137E0,3.311892285E0
6.043241262E1,5.233536816E1,5.002799645E0,1.522557744E0,8.385435792E-1,NaN,4.787229785E0,3.302569911E0
6.143241251E1,5.233536536E1,5.002808032E0,1.012488632E0,3.584953900E-1,NaN,4.793028213E0,3.294148992E0
6.243241334E1,5.233536427E1,5.002812634E0,7.307464583E-1,6.295912918E-2,NaN,4.796725137E0,3.288763444E0
6.343241346E1,5.233536426E1,5.002818323E0,6.476828065E-1,0.000000000E0,NaN,4.798170018E0,3.286655065E0
6.443241429E1,5.233536426E1,5.002818323E0,6.476828065E-1,0.000000000E0,NaN,4.800920216E0,3.282636458E0
6.543241310E1,5.233536426E1,5.002818323E0,6.476828065E-1,0.000000000E0,NaN,4.803165937E0,3.279349633E0
6.643241322E1,5.233536426E1,5.002818323E0,6.476828065E-1,0.000000000E0,NaN,4.795619682E0,3.290375191E0
6.743241394E1,5.233536426E1,5.002818323E0,6.476828065E-1,0.000000000E0,NaN,4.789002398E0,3.299998949E0
6.843241346E1,5.233535920E1,5.002827463E0,6.264713304E-1,4.602842923E-1,8.378052532E1,4.787692591E0,3.301898951E0
6.943241405E1,5.233536209E1,5.002859400E0,3.060285775E-1,1.827789116E0,8.231719501E1,4.789933645E0,3.298647103E0
7.043241394E1,5.233536618E1,5.002908744E0,-8.649348281E-2,3.046951609E0,8.303426806E1,4.771374966E0,3.325435004E0
7.143241346E1,5.233536722E1,5.002973946E0,-5.258731451E-2,4.033031194E0,8.467422985E1,4.764634591E0,3.335085344E0
7.243241382E1,5.233537176E1,5.003057347E0,-3.981833318E-1,5.130882710E0,8.536089710E1,4.767169770E0,3.331460553E0
7.343241405E1,5.233537105E1,5.003162895E0,-1.473269761E-1,6.458857811E0,8.782792618E1,4.764173326E0,3.335744228E0
7.443241429E1,5.233537210E1,5.003284268E0,-1.137115015E-1,7.671409710E0,8.887369877E1,4.770197591E0,3.327123679E0
7.543241465E1,5.233536940E1,5.003416396E0,2.547064237E-2,8.665134703E0,9.104094016E1,4.774426320E0,3.321052596E0
7.643241429E1,5.233536637E1,5.003566888E0,3.858479224E-1,9.727939413E0,9.210986295E1,4.775646164E0,3.319298231E0
7.743241358E1,5.233535669E1,5.003705486E0,-3.088338878E-1,9.477114466E0,9.493876904E1,4.797244595E0,3.288005676E0
7.843241417E1,5.233534239E1,5.003844718E0,-5.122430082E-1,9.303383810E0,9.745973952E1,4.851806095E0,3.206947872E0
7.943241453E1,5.233533098E1,5.003985210E0,-7.796752546E-1,8.987586776E0,9.793711850E1,4.943570774E0,3.063600013E0
8.043241417E1,5.233532472E1,5.004097591E0,-5.373807885E-1,8.154746959E0,9.674924524E1,4.839733501E0,3.225138240E0
8.143241417E1,5.233532029E1,5.004195939E0,1.724880189E-1,7.375143701E0,9.550053777E1,4.866621070E0,3.184420888E0
8.243241501E1,5.233531435E1,5.004289617E0,-7.472445071E-2,7.109215204E0,9.624922771E1,4.905838549E0,3.123665341E0
8.343241405E1,5.233529970E1,5.004387668E0,-2.850663848E-3,7.113838587E0,1.003364555E2,4.881402177E0,3.161716278E0
8.443241537E1,5.233526543E1,5.004477272E0,-1.240687445E-1,7.417847549E0,1.109450575E2,4.848647826E0,3.211720923E0
8.543241465E1,5.233521775E1,5.004563244E0,5.530225495E-1,7.473511369E0,1.273375015E2,4.841593412E0,3.222345460E0
