"Time (s)","Distance (cm)"
6.629958341E-3,5.000000000E0
3.527678822E2,0.000000000E0
4.009203638E2,5.000000000E0
4.013043596E2,0.000000000E0
4.028412533E2,5.000000000E0
4.108969908E2,0.000000000E0
5.502824026E2,5.000000000E0
