"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718194156945032E9,"2024-06-12 14:09:16.945 UTC+02:00"
"PAUSE",7.232273318333318E2,1.718194880172990E9,"2024-06-12 14:21:20.173 UTC+02:00"
