"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.197460008E1,5.233487378E1,4.865723055E0,1.655223544E0,1.306441878E0,7.156459587E1,4.767152212E0,3.331485678E0
4.297460079E1,5.233487849E1,4.865751135E0,1.188331920E0,1.435731945E0,7.069891977E1,4.764882559E0,3.334731059E0
4.397460115E1,5.233488396E1,4.865773457E0,1.278227696E0,1.527384658E0,6.804677518E1,4.761976567E0,3.338879484E0
4.497460127E1,5.233489250E1,4.865791047E0,1.377346055E0,1.477904556E0,6.139199764E1,4.754343782E0,3.349739130E0
4.597460330E1,5.233489898E1,4.865810220E0,1.720073260E0,1.393897895E0,5.937136653E1,4.756416723E0,3.346795033E0
4.697460437E1,5.233490738E1,4.865823563E0,1.294821418E0,1.267960582E0,5.529119455E1,4.755865781E0,3.347577886E0
4.797460544E1,5.233491860E1,4.865839249E0,2.188527312E0,1.377764662E0,4.654752828E1,4.757087083E0,3.345842124E0
4.897460783E1,5.233492495E1,4.865853072E0,2.262829685E0,1.388031209E0,4.772446818E1,4.753496914E0,3.350940782E0
4.997460926E1,5.233493217E1,4.865855750E0,2.411430593E0,1.268734106E0,3.770515188E1,4.753633868E0,3.350746496E0
5.097461164E1,5.233493020E1,4.865850547E0,2.004611274E0,1.450374297E-1,4.078420907E1,4.756827217E0,3.346211569E0
5.197461283E1,5.233493188E1,4.865845082E0,1.857002452E0,1.561227727E-1,4.078420511E1,4.761418434E0,3.339675363E0
5.297461474E1,5.233493306E1,4.865844841E0,1.695564567E0,5.010712197E-2,4.078420501E1,4.765224012E0,3.334243115E0
5.397461760E1,5.233493092E1,4.865847434E0,1.487437223E0,5.535026855E-2,4.078420680E1,4.769837764E0,3.327639515E0
5.497461975E1,5.233493526E1,4.865846001E0,1.808651708E0,1.384618127E-1,4.078420602E1,4.767257146E0,3.331335518E0
5.597462189E1,5.233494000E1,4.865835447E0,1.043406778E0,6.795267023E-1,2.769422726E0,4.767412280E0,3.331113505E0
5.697462487E1,5.233495656E1,4.865835254E0,7.954134708E-1,1.147979000E0,3.582099489E2,4.769870619E0,3.327592419E0
5.797462773E1,5.233497412E1,4.865831627E0,6.490743281E-1,1.381582307E0,3.538210813E2,4.769101179E0,3.328695086E0
5.897463059E1,5.233498873E1,4.865832062E0,8.444794873E-1,1.375862496E0,3.565632814E2,4.767773528E0,3.330596436E0
5.997463334E1,5.233500921E1,4.865838583E0,1.827980230E0,1.676513176E0,4.169052984E0,4.767442449E0,3.331070328E0
6.097463620E1,5.233502155E1,4.865841366E0,1.534099741E0,1.461801602E0,7.255339828E0,4.764026703E0,3.335953627E0
6.197463953E1,5.233504186E1,4.865843367E0,1.630731425E0,1.696007994E0,5.728388553E0,4.761184704E0,3.340008570E0
6.297464216E1,5.233505664E1,4.865843075E0,1.838199656E0,1.646805742E0,5.470734949E0,4.762612435E0,3.337972413E0
6.397464561E1,5.233507287E1,4.865850251E0,1.444485621E0,1.574595400E0,1.088500147E1,4.760706861E0,3.340689632E0
6.497464871E1,5.233508287E1,4.865853604E0,1.209615765E0,1.337951030E0,1.263425925E1,4.761871728E0,3.339029002E0
6.597465241E1,5.233509352E1,4.865864898E0,1.354106346E0,1.226919491E0,2.009174241E1,4.758833685E0,3.343357443E0
6.697465587E1,5.233511003E1,4.865877861E0,1.663147951E0,1.448498664E0,2.186895552E1,4.758526427E0,3.343794742E0
6.797465873E1,5.233512906E1,4.865883039E0,2.085227002E0,1.717142913E0,1.341894042E1,4.750558569E0,3.355105112E0
6.897466183E1,5.233514457E1,4.865877721E0,2.595184930E0,1.682356159E0,1.310968742E0,4.745892625E0,3.361701984E0
6.997466612E1,5.233516016E1,4.865874444E0,2.662818491E0,1.679670103E0,3.594767225E2,4.745628376E0,3.362075007E0
7.097466898E1,5.233517943E1,4.865878082E0,2.801323041E0,1.728475851E0,3.438733238E0,4.741971968E0,3.367230151E0
7.197467220E1,5.233519682E1,4.865879275E0,3.076227427E0,1.720736839E0,4.863977343E0,4.742049048E0,3.367121598E0
7.297467589E1,5.233521052E1,4.865882315E0,2.891464291E0,1.716516905E0,7.893818094E0,4.739215918E0,3.371108054E0
7.397468030E1,5.233522623E1,4.865891049E0,3.030060001E0,1.690735361E0,1.492475522E1,4.741248140E0,3.368249264E0
7.497468328E1,5.233524080E1,4.865899007E0,2.824717985E0,1.719633858E0,1.839576099E1,4.738776025E0,3.371726386E0
7.597468650E1,5.233525679E1,4.865910241E0,3.756225651E0,1.728801231E0,2.233032535E1,4.738109768E0,3.372662577E0
7.697469068E1,5.233526901E1,4.865930271E0,4.189368031E0,1.711038873E0,3.436333149E1,4.734084330E0,3.378310611E0
7.797469497E1,5.233527670E1,4.865953956E0,3.935950462E0,1.700343534E0,4.780987931E1,4.734473437E0,3.377765283E0
7.897469723E1,5.233528393E1,4.865978291E0,4.074520718E0,1.710278916E0,5.953919250E1,4.734707167E0,3.377437649E0
7.997470152E1,5.233528356E1,4.866003139E0,3.970407011E0,1.686040180E0,7.677255348E1,4.733911416E0,3.378552906E0
8.097470629E1,5.233528115E1,4.866028122E0,4.934009412E0,1.651629951E0,8.597958605E1,4.736416742E0,3.375039775E0
8.197470999E1,5.233528046E1,4.866056711E0,3.665043376E0,1.760482557E0,8.972179120E1,4.737800052E0,3.373097641E0
8.297471321E1,5.233528037E1,4.866077803E0,3.210873070E0,1.700420122E0,8.987138530E1,4.735836827E0,3.375853460E0
8.397471750E1,5.233528345E1,4.866103223E0,2.953151314E0,1.707483419E0,8.590724783E1,4.731795956E0,3.381515054E0
8.497472119E1,5.233528475E1,4.866125966E0,2.708467231E0,1.709577670E0,8.542612726E1,4.730429027E0,3.383426998E0
8.597472489E1,5.233528489E1,4.866151185E0,2.300159412E0,1.698155233E0,9.005372160E1,4.730893932E0,3.382776912E0
8.697472847E1,5.233528250E1,4.866176737E0,2.927695431E0,1.715576318E0,9.435979465E1,4.731687215E0,3.381667212E0
8.797473228E1,5.233528138E1,4.866200830E0,2.375809262E0,1.711010405E0,9.432641942E1,4.732789261E0,3.380124679E0
8.897473657E1,5.233528062E1,4.866220026E0,1.940282186E0,1.664229077E0,9.400940966E1,4.731913391E0,3.381350720E0
8.997474015E1,5.233528474E1,4.866242619E0,2.137037422E0,1.686709511E0,8.793535970E1,4.733007360E0,3.379819280E0
9.097474444E1,5.233528573E1,4.866262011E0,1.752281315E0,1.574191080E0,8.920215708E1,4.733078868E0,3.379719140E0
