"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718111823402739E9,"2024-06-11 15:17:03.403 UTC+02:00"
"PAUSE",7.621684879166714E2,1.718112585571236E9,"2024-06-11 15:29:45.571 UTC+02:00"
