"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.318885028E1,5.234994676E1,4.932289426E0,-3.689634867E0,5.626100966E-1,1.459598902E2,4.951434637E0,3.050873984E0
4.418885016E1,5.234994660E1,4.932285475E0,-4.114257021E0,3.798627018E-1,1.459149507E2,4.897015001E0,3.137480057E0
4.518884993E1,5.234994883E1,4.932281445E0,-4.277321178E0,4.472495503E-2,1.459149474E2,4.852148037E0,3.206430486E0
4.618884981E1,5.234995182E1,4.932289501E0,-4.539676510E0,0.000000000E0,1.459149547E2,4.828750063E0,3.241559789E0
4.718884957E1,5.234995182E1,4.932289501E0,-4.539676510E0,0.000000000E0,1.459149547E2,4.824577072E0,3.247767404E0
4.818884909E1,5.234995182E1,4.932289501E0,-4.539676510E0,0.000000000E0,1.459149547E2,4.819525450E0,3.255259048E0
4.918884897E1,5.234995182E1,4.932289501E0,-4.539676510E0,0.000000000E0,1.459149547E2,4.822134017E0,3.251393633E0
5.018884909E1,5.234995182E1,4.932289501E0,-4.539676510E0,0.000000000E0,1.459149547E2,4.816335893E0,3.259976319E0
5.118884885E1,5.234995182E1,4.932289501E0,-4.539676510E0,0.000000000E0,1.459149547E2,4.801000689E0,3.282518760E0
5.218884802E1,5.234995282E1,4.932278158E0,-4.214844542E0,9.352637472E-2,1.459149449E2,4.827045103E0,3.244098118E0
5.318884802E1,5.234995615E1,4.932274461E0,-4.181132356E0,3.945127134E-2,1.459149420E2,4.880837702E0,3.162587605E0
5.418884754E1,5.234994988E1,4.932286732E0,-3.970110192E0,5.730877668E-1,1.459149521E2,4.957160773E0,3.041561129E0
5.518884861E1,5.234995024E1,4.932280411E0,-4.158345684E0,2.969746956E-1,1.459149466E2,5.028573504E0,2.921983154E0
5.618884861E1,5.234995219E1,4.932283990E0,-4.168304694E0,0.000000000E0,1.459149499E2,4.885820223E0,3.154884749E0
5.718884838E1,5.234995496E1,4.932278807E0,-4.060604268E0,1.428633604E-2,1.459149457E2,4.911257868E0,3.115137748E0
5.818884802E1,5.234994811E1,4.932298159E0,-3.908697096E0,5.092247869E-1,1.459149619E2,4.890526348E0,3.147584642E0
5.918884778E1,5.234995995E1,4.932313794E0,-4.044864400E0,7.292281065E-1,6.430480829E1,4.889347166E0,3.149416029E0
6.018884802E1,5.234995859E1,4.932316998E0,-3.750058018E0,6.107095593E-1,5.753732448E1,4.947363027E0,3.057472176E0
6.118884802E1,5.234995876E1,4.932311013E0,-3.731810097E0,0.000000000E0,4.223685250E1,4.978244032E0,3.006929230E0
6.218884826E1,5.234996464E1,4.932312044E0,-3.850245338E0,2.343540138E-1,4.223685378E1,5.171434676E0,2.660977344E0
6.318884838E1,5.234996555E1,4.932302971E0,-3.966362512E0,6.278788094E-2,4.223684722E1,5.682007048E0,1.857155124E0
6.418884909E1,5.234996713E1,4.932304414E0,-3.802559964E0,1.375305027E-1,4.223684842E1,7.493375102E0,1.197285283E0
6.518885159E1,5.234996026E1,4.932288475E0,-3.750120355E0,1.402043699E-1,4.223683614E1,8.554957031E0,1.194740926E0
6.618884921E1,5.234996902E1,4.932288272E0,-3.862473413E0,2.203057044E-2,4.223683677E1,7.963302265E0,1.191265587E0
6.718884897E1,5.234995997E1,4.932301319E0,-4.019253135E0,2.607932439E-1,4.223684551E1,8.671226229E0,1.190532585E0
6.818884909E1,5.234994858E1,4.932288079E0,-4.156443350E0,7.767568352E-2,4.223683481E1,9.106159835E0,1.188483948E0
6.918884921E1,5.234994825E1,4.932274003E0,-3.989290090E0,1.277582435E-1,4.223682448E1,9.539365061E0,1.185821691E0
7.018885028E1,5.234994798E1,4.932273512E0,-4.003152286E0,0.000000000E0,4.223682409E1,7.771015357E0,1.127395101E0
7.118885005E1,5.234994798E1,4.932273512E0,-4.003152286E0,0.000000000E0,4.223682409E1,7.582358456E0,1.106841212E0
7.218885016E1,5.234994798E1,4.932273512E0,-4.003152286E0,0.000000000E0,4.223682409E1,6.983762908E0,1.099618617E0
