"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718217418365000E9,"2024-06-12 20:36:58.365 UTC+02:00"
"PAUSE",6.500055845832685E2,1.718218068367000E9,"2024-06-12 20:47:48.367 UTC+02:00"
