"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.444648421E2,5.206178295E1,5.144920096E0,-2.826181948E-1,NaN,NaN,1.414000000E3,2.172363997E0
1.595395350E2,5.205960749E1,5.153057447E0,1.984267831E0,NaN,NaN,1.414000000E3,3.052130699E0
1.595428081E2,5.205903948E1,5.156340454E0,1.995333314E0,NaN,NaN,1.414000000E3,2.175447702E0
2.001837901E2,5.205717130E1,5.159285131E0,2.325063229E0,NaN,NaN,1.931733307E3,3.070646524E0
2.001895970E2,5.205717111E1,5.159285432E0,2.325672388E0,NaN,NaN,1.931733320E3,2.194187641E0
2.003288391E2,5.204567514E1,5.160211520E0,2.326020479E0,NaN,NaN,1.544000000E3,2.366905928E0
2.011593361E2,5.204198995E1,5.160526451E0,2.326227188E0,NaN,NaN,1.544000000E3,2.858576775E0
2.200986451E2,5.204141850E1,5.161366683E0,2.224824429E-1,NaN,NaN,1.692159004E3,3.055739880E0
2.201078451E2,5.204141826E1,5.161367033E0,2.141549587E-1,NaN,NaN,1.692159042E3,2.197869539E0
2.247241521E2,5.204130280E1,5.161536785E0,2.064984739E-1,NaN,NaN,1.701395517E3,3.007419348E0
2.247297571E2,5.204130267E1,5.161536984E0,2.063790858E-1,NaN,NaN,1.701395531E3,2.163820505E0
2.365758131E2,5.204104185E1,5.161920448E0,-1.788505018E-1,NaN,NaN,1.759339561E3,3.091837645E0
2.365806611E2,5.204104175E1,5.161920591E0,-1.813185215E-1,NaN,NaN,1.759339571E3,2.210701466E0
2.635812421E2,5.204060028E1,5.162569644E0,-1.837260723E-1,NaN,NaN,2.018545920E3,3.078992367E0
2.635883441E2,5.204060018E1,5.162569782E0,-1.837328225E-1,NaN,NaN,2.018545939E3,2.205607891E0
2.659755940E2,5.204056939E1,5.162615056E0,-1.837389320E-1,NaN,NaN,2.020708332E3,2.994222164E0
2.659795151E2,5.204056934E1,5.162615129E0,-1.837391108E-1,NaN,NaN,2.020708338E3,2.163213015E0
2.669767650E2,5.204055681E1,5.162633546E0,-1.837392896E-1,NaN,NaN,2.021088414E3,2.889311075E0
2.669801451E2,5.204055677E1,5.162633608E0,-1.837393045E-1,NaN,NaN,2.021088418E3,2.133140326E0
2.681923500E2,5.202534413E1,5.174087023E0,-1.837393045E-1,NaN,NaN,1.003333333E2,2.910554171E0
2.904268560E2,5.201945244E1,5.177920171E0,-1.837393045E-1,NaN,NaN,1.146666667E2,3.048249960E0
3.234512610E2,5.201311754E1,5.182018582E0,1.936364532E0,NaN,NaN,8.105364954E2,3.140567541E0
3.234792681E2,5.201311344E1,5.182021237E0,1.941713333E0,NaN,NaN,8.105370452E2,2.314274073E0
3.266145821E2,5.201266516E1,5.182311219E0,4.020112991E0,NaN,NaN,8.173719743E2,3.018116236E0
3.266239010E2,5.201266386E1,5.182312060E0,4.068624020E0,NaN,NaN,8.173720369E2,2.192846537E0
3.522193631E2,5.200972128E1,5.184215569E0,7.267549992E0,NaN,NaN,1.181967760E3,3.090892553E0
3.522266500E2,5.200972060E1,5.184216010E0,7.277101040E0,NaN,NaN,1.181967791E3,2.214772940E0
3.711152805E2,5.199694047E1,5.189793939E0,3.845324516E0,NaN,NaN,2.307434042E2,3.059929085E1
3.721152807E2,5.199648599E1,5.189970862E0,1.577938795E0,NaN,NaN,2.145677259E2,2.835440254E1
3.731152812E2,5.199613344E1,5.190108920E0,-5.045127869E-2,NaN,NaN,2.172942662E2,2.676197815E1
3.741152802E2,5.199581106E1,5.190343029E0,-1.175710797E0,NaN,NaN,2.199849800E2,2.560017776E1
3.751152803E2,5.199551566E1,5.190538457E0,-1.614361763E0,NaN,NaN,2.226455993E2,2.583255386E1
3.761152806E2,5.199522403E1,5.190708084E0,-2.032417297E0,NaN,NaN,2.252736605E2,2.602987862E1
3.771152813E2,5.199494127E1,5.190867772E0,-2.432103872E0,NaN,NaN,2.278768144E2,2.619790077E1
3.781152824E2,5.199470660E1,5.191066235E0,-2.878933430E0,NaN,NaN,2.304583298E2,2.634084892E1
3.791152830E2,5.199446023E1,5.191246457E0,-3.299663782E0,NaN,NaN,2.330193956E2,2.646237946E1
4.043746631E2,5.199019865E1,5.193430892E0,-1.074604988E-1,NaN,NaN,8.787586728E2,3.148981571E0
4.044035511E2,5.199019468E1,5.193432929E0,-1.000295430E-1,NaN,NaN,8.787593366E2,2.322373152E0
4.054174351E2,5.199005633E1,5.193503837E0,-9.452038258E-2,NaN,NaN,8.795735199E2,2.954167843E0
4.054259701E2,5.199005517E1,5.193504429E0,-9.413782507E-2,NaN,NaN,8.795735780E2,2.175179720E0
4.085385591E2,5.198964393E1,5.193715199E0,-9.375754744E-2,NaN,NaN,8.871752522E2,3.055056810E0
