"Time (s)","Distance (cm)"
5.917083297E-3,5.000000000E0
2.717668333E0,0.000000000E0
3.249134064E2,5.000000000E0
3.260847428E2,0.000000000E0
4.087530972E2,5.000000000E0
4.145817808E2,0.000000000E0
6.137145750E2,5.000000000E0
