"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718216638350967E9,"2024-06-12 20:23:58.351 UTC+02:00"
"PAUSE",6.144603210000059E2,1.718217252816477E9,"2024-06-12 20:34:12.816 UTC+02:00"
