"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718479620311000E9,"2024-06-15 21:27:00.311 UTC+02:00"
"PAUSE",8.085323947916670E2,1.718480428843000E9,"2024-06-15 21:40:28.843 UTC+02:00"
