"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.468823333E-1,-2.305089310E-2,8.890569955E-2,2.191457003E-1
8.569133333E-1,-1.891774498E-2,7.999479771E-2,1.353940517E-1
8.669443333E-1,-2.205654606E-2,9.502221644E-2,5.312553421E-2
8.769753333E-1,-2.036001906E-2,1.122364551E-1,-9.047973901E-3
8.870053333E-1,-1.065333094E-2,1.036221981E-1,-4.958475009E-2
8.970363333E-1,1.709020138E-2,7.418069988E-2,-7.627951354E-2
9.070673331E-1,5.484689772E-2,3.700643033E-2,-8.730153739E-2
9.170983331E-1,9.996052831E-2,1.472960599E-2,-8.013279736E-2
9.271283331E-1,1.509936154E-1,1.570911705E-2,-6.144114211E-2
9.371593331E-1,2.075319886E-1,4.818106815E-2,-4.352335259E-2
9.471903332E-1,2.627526522E-1,8.028706908E-2,-3.445822001E-2
9.572213332E-1,2.996593118E-1,8.589701355E-2,-3.335148096E-2
9.672523332E-1,3.103646934E-1,5.953197926E-2,-4.756796733E-2
9.772823332E-1,2.916504443E-1,1.290710364E-2,-8.257650584E-2
9.873133332E-1,2.484156191E-1,-3.537227958E-2,-1.178431511E-1
9.973443332E-1,1.936102957E-1,-5.978518352E-2,-1.484531611E-1
1.007375333E0,1.487139314E-1,-4.033664986E-2,-1.729198843E-1
1.017406333E0,1.201319620E-1,-3.192504402E-3,-1.788476408E-1
1.027436333E0,1.150908619E-1,3.892938420E-2,-1.658130735E-1
1.037467333E0,1.237897426E-1,5.716252699E-2,-1.398831159E-1
1.047498333E0,1.471073031E-1,5.320373923E-2,-1.129665449E-1
1.057529333E0,1.754954010E-1,3.111378103E-2,-8.953311294E-2
1.067559333E0,2.009951621E-1,-5.574458279E-3,-7.568414509E-2
1.077590333E0,2.139441967E-1,-2.129187994E-2,-6.563374400E-2
1.087621333E0,2.221856117E-1,2.012643730E-3,-5.940620601E-2
1.097652333E0,2.284697443E-1,6.503309309E-2,-5.531555042E-2
1.107683333E0,2.324999124E-1,1.543256789E-1,-4.797507823E-2
1.117713333E0,2.328163087E-1,2.255844474E-1,-3.435820341E-2
1.127744333E0,2.333838195E-1,2.571868598E-1,-1.946793869E-2
1.137775333E0,2.370070666E-1,2.467617840E-1,-1.595807821E-2
1.147806333E0,2.419810444E-1,2.000206411E-1,-1.891924813E-2
1.157836333E0,2.440706640E-1,1.426504999E-1,-2.217848226E-2
1.167867333E0,2.409150898E-1,1.000290141E-1,-2.333695628E-2
1.177898333E0,2.387560159E-1,9.438210726E-2,-2.819800004E-2
1.187929333E0,2.414828241E-1,1.339175254E-1,-4.406804219E-2
1.197960333E0,2.450774908E-1,1.831650436E-1,-6.030711159E-2
1.207990333E0,2.540997565E-1,2.277873755E-1,-8.277566731E-2
1.218021333E0,2.579677701E-1,2.454619557E-1,-1.046576947E-1
1.228052333E0,2.621939480E-1,2.417191565E-1,-1.324144900E-1
1.238083333E0,2.623338401E-1,2.172378302E-1,-1.637116969E-1
1.248113333E0,2.537952065E-1,1.898711920E-1,-1.919494569E-1
1.258144333E0,2.324925661E-1,1.589396000E-1,-2.170519233E-1
1.268175333E0,2.122333646E-1,1.550931931E-1,-2.376823574E-1
1.278206333E0,2.068814635E-1,1.562340558E-1,-2.512763143E-1
1.288237333E0,2.192806154E-1,1.605398506E-1,-2.563424706E-1
1.298267333E0,2.460130155E-1,1.658582687E-1,-2.500747740E-1
1.308298333E0,2.864446044E-1,1.650960594E-1,-2.440685183E-1
1.318329333E0,3.249215782E-1,1.488990188E-1,-2.433805615E-1
1.328360333E0,3.501619697E-1,1.197680384E-1,-2.437771112E-1
1.338391333E0,3.598188162E-1,8.881923556E-2,-2.478076220E-1
1.348421333E0,3.495435417E-1,7.280910760E-2,-2.481753975E-1
1.358452333E0,3.319830298E-1,6.839077920E-2,-2.510152161E-1
1.368483333E0,3.214371800E-1,1.004104987E-1,-2.493089586E-1
1.378514333E0,3.225096762E-1,1.452214271E-1,-2.456829250E-1
1.388544333E0,3.469303250E-1,1.969352216E-1,-2.454733402E-1
1.398575333E0,3.921786547E-1,2.456828654E-1,-2.606982589E-1
1.408606333E0,4.493319690E-1,2.675266564E-1,-2.805747688E-1
1.418637333E0,4.955541492E-1,2.559269071E-1,-2.979224622E-1
1.428668333E0,5.299368501E-1,2.245673835E-1,-3.164708316E-1
1.438698333E0,5.474388599E-1,2.073051184E-1,-3.302922547E-1
1.448729333E0,5.441548824E-1,1.963757724E-1,-3.383965194E-1
1.458760333E0,5.402932763E-1,2.124528885E-1,-3.483811915E-1
1.468791333E0,5.296739340E-1,2.262232900E-1,-3.546518683E-1
1.478822333E0,5.207289457E-1,2.218585312E-1,-3.599003553E-1
1.488852333E0,5.112757683E-1,1.978453398E-1,-3.693399429E-1
1.498883333E0,5.011928082E-1,1.731528491E-1,-3.797532916E-1
1.508914333E0,4.804989994E-1,1.549884975E-1,-3.883859217E-1
1.518945333E0,4.528887272E-1,1.501841247E-1,-3.856083751E-1
1.528975333E0,4.258877337E-1,1.494352371E-1,-3.754260540E-1
1.539006333E0,3.995146453E-1,1.462290585E-1,-3.560283780E-1
1.549037333E0,3.766050637E-1,1.302567422E-1,-3.418563604E-1
1.559068333E0,3.604662418E-1,1.017106250E-1,-3.336891830E-1
1.569099333E0,3.440270722E-1,5.845636502E-2,-3.238503933E-1
1.579129333E0,3.259524107E-1,8.378839120E-3,-3.129768074E-1
1.589160333E0,3.091768920E-1,-3.564614058E-2,-3.022088408E-1
1.599191333E0,2.899802625E-1,-5.698772520E-2,-2.915201485E-1
1.609222333E0,2.656477690E-1,-6.376253814E-2,-2.721533775E-1
1.619252333E0,2.320044190E-1,-6.968008727E-2,-2.429003417E-1
1.629283333E0,1.559341550E-1,-6.966224313E-2,-2.096585035E-1
1.639314333E0,-3.644755185E-1,-2.142191678E-2,-1.227800027E-1
1.649345333E0,-6.881417036E-1,4.007526860E-2,-1.890051067E-1
1.659376333E0,-7.101184130E-1,1.312597245E-1,-2.502557933E-1
1.669406333E0,-6.194263101E-1,1.968091726E-1,-1.844861060E-1
1.679437333E0,-4.166079164E-1,1.699098051E-1,-1.016412452E-1
1.689468333E0,-1.499010921E-1,3.536264226E-2,-2.743066475E-2
1.699499333E0,9.018569440E-2,-8.508719504E-2,4.309022054E-2
1.709530458E0,2.554199100E-1,-1.520462483E-1,1.094319597E-1
1.719560458E0,3.410325646E-1,-1.782150120E-1,1.543219388E-1
1.729591458E0,3.408384323E-1,-1.580415666E-1,1.721102595E-1
1.739622458E0,2.777690291E-1,-1.462294459E-1,1.714197397E-1
1.749653458E0,1.733645946E-1,-1.478909850E-1,1.600144804E-1
1.759683458E0,5.386849120E-2,-1.481440514E-1,1.408871263E-1
