"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717863324432000E9,"2024-06-08 18:15:24.432 UTC+02:00"
"PAUSE",6.381749967916403E2,1.717863962607000E9,"2024-06-08 18:26:02.607 UTC+02:00"
