"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717772361261000E9,"2024-06-07 16:59:21.261 UTC+02:00"
"PAUSE",4.778481079999999E2,1.717772839110000E9,"2024-06-07 17:07:19.110 UTC+02:00"
