"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718111026404388E9,"2024-06-11 15:03:46.404 UTC+02:00"
"PAUSE",7.293109137499996E2,1.718111755715365E9,"2024-06-11 15:15:55.715 UTC+02:00"
