"Time (s)","Distance (cm)"
2.500941667E-2,5.000000000E0
1.627030542E0,0.000000000E0
2.358819388E2,5.000000000E0
2.424214984E2,0.000000000E0
4.252860050E2,5.000000000E0
4.254529050E2,0.000000000E0
4.272897213E2,5.000000000E0
6.707943377E2,0.000000000E0
6.709113752E2,5.000000000E0
7.198133907E2,0.000000000E0
7.198301171E2,5.000000000E0
7.260316729E2,0.000000000E0
7.263325169E2,5.000000000E0
7.275694322E2,0.000000000E0
7.279872268E2,5.000000000E0
