"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.121702826E1,5.233256414E1,5.026214034E0,3.533178426E0,1.520342546E1,8.582531738E1,4.755810531E0,3.347656378E0
4.221702874E1,5.233251557E1,5.026445092E0,2.982630527E0,1.587538710E1,9.314704895E1,4.748883888E0,3.357475070E0
4.321702850E1,5.233250755E1,5.026679414E0,2.597959439E0,1.618955061E1,9.328578186E1,4.734949197E0,3.377098330E0
4.421702862E1,5.233251579E1,5.026911922E0,3.026685343E0,1.603005309E1,9.328578186E1,4.737950847E0,3.372885827E0
4.521702874E1,5.233249070E1,5.027153734E0,2.964419861E0,1.628395552E1,9.337329102E1,4.741164263E0,3.368367330E0
4.621702898E1,5.233248135E1,5.027412092E0,3.378261742E0,1.720238741E1,9.338291168E1,4.742984944E0,3.365803151E0
4.721702826E1,5.233247191E1,5.027677694E0,3.753034436E0,1.788595921E1,9.305464172E1,4.741099108E0,3.368459037E0
4.821702933E1,5.233246360E1,5.027931837E0,4.219263515E0,1.776306319E1,9.305464172E1,4.743248756E0,3.365431365E0
4.921702921E1,5.233245610E1,5.028187027E0,2.491234723E0,1.771780695E1,9.271953583E1,4.737836509E0,3.373046435E0
5.021702874E1,5.233244969E1,5.028443575E0,2.976170395E0,1.763075080E1,9.207328796E1,4.736509030E0,3.374910257E0
5.121702886E1,5.233245964E1,5.028688142E0,2.760192624E0,1.693237379E1,9.184294128E1,4.732662726E0,3.380301844E0
5.221702850E1,5.233245509E1,5.028940723E0,2.665831664E0,1.695384545E1,9.129320526E1,4.727586522E0,3.387397630E0
5.321702862E1,5.233243350E1,5.029197445E0,1.269976804E0,1.713961645E1,9.129320526E1,4.698592970E0,3.427500712E0
5.421702886E1,5.233241744E1,5.029454390E0,1.205777796E-1,1.734449003E1,9.129320526E1,4.728406619E0,3.386252778E0
5.521702850E1,5.233241374E1,5.029725417E0,1.463942171E0,1.806162237E1,9.129320526E1,4.749135950E0,3.357118520E0
