"Time (s)","Distance (cm)"
7.298541663E-3,5.000000000E0
4.449171417E0,0.000000000E0
6.712765150E1,5.000000000E0
7.034782700E1,0.000000000E0
2.154406179E2,5.000000000E0
2.172852748E2,0.000000000E0
4.557746435E2,5.000000000E0
4.597340300E2,0.000000000E0
5.142464232E2,5.000000000E0
