"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.281702518E-2,5.230641403E1,5.132016866E0,6.278881073E0,NaN,NaN,5.100000000E1,3.000000000E1
6.572856903E-1,5.230669476E1,5.130110560E0,5.971157074E0,2.253000069E1,2.956640625E2,1.414108828E1,1.600000000E1
1.415286183E0,5.230679237E1,5.129812164E0,5.044582367E0,2.253000069E1,2.960156250E2,8.888163707E0,6.000000000E0
2.415289760E0,5.230687317E1,5.129518127E0,6.724025726E0,2.240999985E1,2.967187500E2,6.100195687E0,6.000000000E0
3.415286779E0,5.230697916E1,5.129268765E0,4.542140961E0,2.240999985E1,2.977734375E2,4.995730906E0,6.000000000E0
4.415286303E0,5.230707165E1,5.128978081E0,4.798366547E0,2.282999992E1,2.988281250E2,4.234902876E0,4.000000000E0
5.415286541E0,5.230718477E1,5.128673902E0,5.427089691E0,2.272999954E1,2.998828125E2,3.719058921E0,4.000000000E0
6.415291190E0,5.230727806E1,5.128406268E0,4.273464203E0,2.276000023E1,2.998828125E2,3.535533906E0,3.000000000E0
7.415288329E0,5.230737709E1,5.128124887E0,4.461635590E0,2.272999954E1,3.005859375E2,3.562065666E0,3.000000000E0
8.415287375E0,5.230747868E1,5.127843758E0,4.352077484E0,2.240999985E1,3.009375000E2,3.595449945E0,3.000000000E0
9.415284753E0,5.230758559E1,5.127576292E0,4.354640961E0,2.218000031E1,3.023437500E2,3.736637318E0,3.000000000E0
1.041528332E1,5.230770914E1,5.127311172E0,3.214992523E0,2.243000031E1,3.055078125E2,4.180505027E0,3.000000000E0
1.141528487E1,5.230780809E1,5.126972292E0,3.401699066E0,2.388999939E1,3.009375000E2,3.535533906E0,3.000000000E0
1.241528761E1,5.230792024E1,5.126694012E0,3.327114105E0,2.320000076E1,3.016406250E2,3.535533906E0,3.000000000E0
1.341528940E1,5.230802961E1,5.126404428E0,3.327156306E0,2.320000076E1,3.016403958E2,4.610439917E0,3.545191222E0
1.441529107E1,5.230812947E1,5.126123477E0,3.970100642E0,2.320000076E1,3.009372691E2,4.612375679E0,3.542672385E0
1.541528571E1,5.230822991E1,5.125837364E0,4.183416859E0,2.273999977E1,3.008475342E2,4.610440590E0,3.545190347E0
1.641528881E1,5.230833585E1,5.125554135E0,4.129950384E0,2.282999992E1,3.008475342E2,4.610440936E0,3.545189898E0
1.741528785E1,5.230843690E1,5.125259326E0,3.725104189E0,2.282999992E1,3.008475342E2,4.610441278E0,3.545189453E0
1.841528678E1,5.230854486E1,5.124983417E0,3.094305851E0,2.282999992E1,3.008106079E2,4.610441628E0,3.545188998E0
1.941528749E1,5.230865552E1,5.124687361E0,4.204718736E0,2.290999985E1,3.011431274E2,4.610441988E0,3.545188530E0
2.041528738E1,5.230875651E1,5.124400532E0,4.097784642E0,2.277000046E1,3.011431274E2,4.610442325E0,3.545188091E0
2.141528916E1,5.230886883E1,5.124114515E0,5.203497962E0,2.288999939E1,3.015808411E2,4.610442688E0,3.545187620E0
